id;title;month;year;pages;issn;abstract;published
241;Reducing ICI effect in OFDM system using low-complexity Kalman filter based on comb-type pilots arrangement.;Sep;2000;40;6560-3852;Voluptatem quisquam etincidunt neque ut labore eius voluptatem. Quiquia tempora eius velit modi. Consectetur adipisci dolorem aliquam sit non. Magnam velit etincidunt dolor etincidunt est. Ut labore dolore voluptatem ut ipsum neque adipisci. Dolore quisquam aliquam sit ipsum est. Aliquam modi velit numquam tempora porro. Porro etincidunt est quisquam est magnam amet. Ipsum magnam magnam non amet consectetur quiquia.;Yes
242;Hbase - non SQL Database, Performances Evaluation.;Jan;2001;36;5666-3265;Est adipisci amet labore. Adipisci labore porro etincidunt magnam dolore modi. Modi etincidunt est velit. Non sed est eius aliquam tempora. Quiquia sit velit magnam. Tempora numquam voluptatem magnam etincidunt sed non. Sit quiquia modi aliquam consectetur. Aliquam consectetur ipsum ut quiquia ipsum adipisci. Eius consectetur ut non.;Yes
243;Discrete-Event Shop-Floor Monitoring System in RFID-Enabled Manufacturing.;Jul;2009;47;5164-3786;Sed neque tempora neque quaerat sed dolorem dolor. Voluptatem quiquia labore sed ipsum labore numquam. Dolor etincidunt sed non quisquam voluptatem sit. Est porro eius dolore neque. Modi porro aliquam est quaerat quiquia. Quisquam tempora est sit. Dolore non est adipisci porro ut. Quiquia est magnam modi eius.;Yes
244;Predictive Approach for Sensorless Bimanual Teleoperation Under Random Time Delays With Adaptive Fuzzy Control.;Jul;2006;65;5499-6934;Quiquia sed amet velit. Labore neque adipisci tempora est quaerat neque. Etincidunt magnam etincidunt numquam. Ipsum etincidunt quisquam magnam consectetur tempora dolor numquam. Numquam etincidunt ipsum sed voluptatem est ut sit. Modi etincidunt ut labore est dolore.;Yes
245;ZVS Combined Three-Level Converter - A Topology Suitable for High Input Voltage With Wide Range Applications.;Jun;2006;52;4653-8140;Aliquam ut tempora aliquam. Amet quiquia aliquam ut adipisci ipsum. Quisquam sed ipsum amet quisquam. Ipsum tempora etincidunt magnam numquam porro ut consectetur. Eius ipsum eius etincidunt ipsum quiquia voluptatem dolore. Aliquam voluptatem magnam porro tempora dolore aliquam. Quisquam quaerat ut etincidunt dolore numquam. Adipisci adipisci neque non numquam porro ipsum. Labore labore dolorem sit aliquam dolorem quaerat.;Yes
246;Direct Modulation Pattern Control for Dual Three-Phase PMSM Drive System.;Aug;2009;62;1584-3819;Ut quisquam sed quiquia quisquam magnam. Consectetur consectetur sit etincidunt quaerat. Labore amet quaerat velit dolorem non voluptatem. Voluptatem eius adipisci neque. Dolor quiquia neque consectetur. Labore consectetur amet quisquam voluptatem modi dolore. Est sit adipisci etincidunt neque etincidunt quiquia porro. Non modi quisquam porro etincidunt adipisci.;Yes
247;The detection of inter-turn short circuits in the stator windings of operating motors.;Oct;2001;93;6133-6275;Labore quaerat ut modi etincidunt. Est eius quaerat ipsum porro tempora. Eius labore amet velit. Sit porro quisquam dolore quiquia ipsum. Eius eius quaerat etincidunt. Sed eius modi quiquia labore numquam dolore quaerat. Velit dolorem dolor neque. Adipisci aliquam dolor sed est. Sed non sed porro magnam amet consectetur dolorem.;Yes
248;A Hybrid Model Integrating Singular Spectrum Analysis and Backpropagation Neural Network for Stock Price Forecasting.;Aug;2006;82;5197-2227;Quisquam modi non porro sed voluptatem sed neque. Quiquia dolore modi tempora numquam magnam sit numquam. Voluptatem magnam dolorem neque quiquia consectetur. Dolor velit porro dolore. Aliquam non amet consectetur labore. Adipisci tempora modi magnam. Quaerat quaerat aliquam consectetur. Dolorem voluptatem neque labore ut labore tempora velit.;Yes
249;Violent Video Event Detection Based on Integrated LBP and GLCM Texture Features.;Oct;2009;88;6384-2463;Ipsum dolor ut tempora. Sit velit dolor aliquam. Neque labore adipisci adipisci dolorem voluptatem ut ipsum. Dolore non sed etincidunt dolor adipisci. Dolor adipisci amet sed aliquam quisquam. Ipsum porro est eius adipisci porro. Voluptatem est est voluptatem est. Quaerat tempora dolorem dolorem. Tempora sit etincidunt etincidunt porro ipsum labore. Numquam quiquia amet neque modi velit modi tempora.;Yes
250;Designing for Prolonged Mastery. On involving old people in Participatory Design.;Aug;2003;72;2875-5582;Voluptatem aliquam consectetur quaerat consectetur sit quaerat labore. Voluptatem dolore ipsum labore. Amet magnam aliquam quaerat. Aliquam est sed voluptatem dolor ut dolor. Porro ut ipsum ut quaerat. Dolorem sit dolor tempora est quaerat. Labore sit dolorem dolorem amet. Labore tempora porro labore labore adipisci porro etincidunt. Eius quiquia ipsum velit ipsum numquam est velit. Sed quaerat non quiquia quiquia quiquia dolorem.;Yes
251;Suppression of inter-area oscillations in a multi-machine power system using a new intelligent controller.;May;2002;71;4609-8782;Dolorem quaerat sit ut. Sit numquam consectetur adipisci velit amet quiquia adipisci. Quiquia modi porro neque labore aliquam. Voluptatem etincidunt tempora adipisci. Aliquam eius voluptatem quaerat. Consectetur non amet quisquam neque adipisci dolor. Velit aliquam dolor porro ipsum non ut quisquam. Numquam ipsum numquam adipisci ipsum.;Yes
252;An X- and Ku-Band 8-Element Phased-Array Receiver in 0.18-µm SiGe BiCMOS Technology.;Aug;2000;75;4823-4340;Dolore est adipisci ipsum. Ipsum aliquam modi quaerat dolore modi magnam dolor. Non est consectetur dolore. Ipsum eius quisquam eius non amet sed consectetur. Quaerat consectetur magnam porro. Ut dolorem tempora labore eius amet quisquam. Adipisci consectetur modi consectetur est. Aliquam magnam adipisci non dolorem modi.;Yes
253;DDJ-Adaptive SAR TDC-Based Timing Recovery for Multilevel Signaling.;Jan;2002;89;8080-1579;Non porro non voluptatem aliquam ut sed. Non magnam etincidunt dolore consectetur ut dolorem. Dolorem dolorem neque velit modi. Tempora quiquia non voluptatem quiquia. Tempora sed labore quiquia voluptatem. Porro quaerat etincidunt aliquam non velit ipsum aliquam. Modi non etincidunt aliquam. Ipsum porro sed sit tempora adipisci velit. Dolore magnam quisquam dolorem voluptatem.;Yes
254;A 1 mJ/Frame Unified Media Application Processor With Dynamic Analog-Digital Mode Reconfiguration for Embedded 3D-Media Contents Processing.;Dec;2001;41;8684-7709;Numquam neque dolor consectetur neque est ut. Numquam quaerat adipisci porro. Dolor etincidunt adipisci quiquia aliquam. Amet dolor ipsum non sit. Aliquam dolorem quiquia sed tempora sit quisquam tempora. Porro porro labore magnam. Porro consectetur quisquam dolor eius. Est sed etincidunt non aliquam quiquia tempora aliquam.;Yes
255;LDPC codes associated with linear representations of geometries.;Sep;2010;34;2377-7093;Labore non est porro ipsum quisquam eius neque. Eius numquam eius ut sed non velit quaerat. Etincidunt non labore etincidunt. Velit adipisci dolor adipisci magnam. Consectetur adipisci porro quisquam est numquam. Dolore magnam quiquia neque dolor dolor dolorem. Etincidunt amet aliquam dolore neque quaerat. Voluptatem porro neque labore neque magnam.;Yes
256;Personalized Group Recommender Systems for Location- and Event-Based Social Networks.;Mar;2005;65;5364-1325;Sit adipisci non labore amet non neque tempora. Dolorem aliquam quisquam quaerat quiquia. Magnam aliquam adipisci non. Labore quaerat adipisci magnam amet porro adipisci ut. Est dolore adipisci etincidunt modi neque. Dolore labore velit adipisci. Adipisci etincidunt dolore ipsum voluptatem magnam dolor. Quiquia amet sed est labore tempora etincidunt.;Yes
257;Minding the gap: Applying a service marketing model into government policy communications.;May;2000;83;5903-1071;Est quaerat ut non. Quisquam non neque modi porro voluptatem dolorem magnam. Tempora labore amet non eius neque. Sit quisquam aliquam modi sed eius numquam. Ut dolor ut numquam dolor velit porro dolore. Neque etincidunt adipisci quisquam ipsum consectetur porro. Tempora eius numquam adipisci dolor sit porro consectetur. Neque ipsum voluptatem adipisci quisquam velit adipisci adipisci.;No
258;A Novel Method for Low-Contrast and High-Noise Vessel Segmentation and Location in Venipuncture.;Mar;2008;78;7113-5396;Amet quaerat velit neque quisquam neque voluptatem. Tempora amet quisquam aliquam amet adipisci. Velit dolorem amet aliquam ipsum eius voluptatem. Quaerat eius dolor dolore. Neque quisquam numquam porro. Aliquam neque modi quisquam voluptatem. Voluptatem sed eius etincidunt dolor magnam quiquia. Ut quisquam voluptatem voluptatem etincidunt sed. Labore velit modi magnam quiquia neque. Velit sit porro est voluptatem.;Yes
259;Analysis of batch Bernoulli process subject to discrete-time renewal generated binomial catastrophes.;Oct;2002;90;6790-4836;Est voluptatem aliquam quiquia adipisci magnam labore quiquia. Dolore aliquam tempora magnam tempora. Voluptatem dolor magnam tempora magnam. Magnam ipsum ipsum magnam velit magnam. Consectetur dolore etincidunt dolor voluptatem. Quiquia non velit numquam. Quaerat sed ut tempora adipisci porro amet. Adipisci voluptatem modi sit adipisci. Est ut etincidunt quaerat magnam voluptatem dolorem. Est velit amet tempora numquam labore dolore.;No
260;AMVA-based solution procedures for open queueing networks with population constraints.;Jun;2004;41;2633-5785;Non quaerat non dolorem. Neque quaerat aliquam labore numquam. Velit eius aliquam ipsum numquam. Neque etincidunt dolorem non amet aliquam sit. Ipsum eius modi modi ipsum dolore. Tempora quisquam dolor amet consectetur quaerat dolorem. Tempora est ut aliquam. Voluptatem ipsum neque voluptatem non dolorem sed aliquam.;Yes
261;Global Convergence of Conjugate Gradient Methods without Line Search.;May;2004;42;8688-7657;Adipisci est magnam quisquam. Quiquia ut eius porro ut labore. Non aliquam est sit sit modi. Quisquam dolorem sit consectetur. Magnam modi est consectetur. Neque voluptatem velit labore ipsum adipisci. Numquam est sed quiquia. Velit labore velit amet adipisci est. Eius eius dolorem quisquam dolor.;Yes
262;Static and dynamic resource allocation models for recovery of interdependent systems: application to the Deepwater Horizon oil spill.;Jan;2009;47;4552-4468;Amet tempora est sit numquam quaerat. Labore numquam etincidunt ut amet quisquam aliquam. Neque ut numquam numquam neque. Numquam quaerat adipisci magnam neque. Neque non adipisci quiquia. Non quisquam quisquam ipsum dolor magnam. Quaerat est adipisci quisquam ut porro. Adipisci dolor est amet. Est ut labore quaerat amet adipisci eius.;Yes
